frozenset({'0'})	{('0',): [342, 1]}
frozenset({'1', '11', '4'})	{('1',): [66, 1], ('11',): [581, 2], ('4',): [290, 4], ('1', '11'): [44, 3], ('1', '4'): [17, 5], ('11', '4'): [182, 6], ('1', '11', '4'): [13, 7]}
frozenset({'1', '6', '11'})	{('1',): [66, 1], ('6',): [272, 2], ('11',): [581, 4], ('1', '6'): [9, 3], ('1', '11'): [44, 5], ('6', '11'): [173, 6], ('1', '6', '11'): [7, 7]}
frozenset({'1', '7', '11'})	{('1',): [66, 1], ('7',): [350, 2], ('11',): [581, 4], ('1', '7'): [29, 3], ('1', '11'): [44, 5], ('7', '11'): [220, 6], ('1', '7', '11'): [19, 7]}
frozenset({'12', '1', '0'})	{('12',): [277, 1], ('1',): [66, 2], ('0',): [342, 4], ('12', '1'): [25, 3], ('12', '0'): [104, 5], ('1', '0'): [28, 6], ('12', '1', '0'): [12, 7]}
frozenset({'12', '0', '10'})	{('12',): [277, 1], ('0',): [342, 2], ('10',): [319, 4], ('12', '0'): [104, 3], ('12', '10'): [103, 5], ('0', '10'): [112, 6], ('12', '0', '10'): [39, 7]}
frozenset({'12', '13', '0'})	{('12',): [277, 1], ('13',): [255, 2], ('0',): [342, 4], ('12', '13'): [78, 3], ('12', '0'): [104, 5], ('13', '0'): [96, 6], ('12', '13', '0'): [26, 7]}
frozenset({'12', '0', '15'})	{('12',): [277, 1], ('0',): [342, 2], ('15',): [173, 4], ('12', '0'): [104, 3], ('12', '15'): [53, 5], ('0', '15'): [66, 6], ('12', '0', '15'): [20, 7]}
frozenset({'12', '16', '0'})	{('12',): [277, 1], ('16',): [136, 2], ('0',): [342, 4], ('12', '16'): [48, 3], ('12', '0'): [104, 5], ('16', '0'): [54, 6], ('12', '16', '0'): [21, 7]}
frozenset({'12', '0', '18'})	{('12',): [277, 1], ('0',): [342, 2], ('18',): [285, 4], ('12', '0'): [104, 3], ('12', '18'): [85, 5], ('0', '18'): [105, 6], ('12', '0', '18'): [35, 7]}
frozenset({'12', '0', '2'})	{('12',): [277, 1], ('0',): [342, 2], ('2',): [20, 4], ('12', '0'): [104, 3], ('12', '2'): [8, 5], ('0', '2'): [9, 6], ('12', '0', '2'): [4, 7]}
frozenset({'12', '4', '0'})	{('12',): [277, 1], ('4',): [290, 2], ('0',): [342, 4], ('12', '4'): [89, 3], ('12', '0'): [104, 5], ('4', '0'): [113, 6], ('12', '4', '0'): [39, 7]}
frozenset({'12', '5', '0'})	{('12',): [277, 1], ('5',): [354, 2], ('0',): [342, 4], ('12', '5'): [103, 3], ('12', '0'): [104, 5], ('5', '0'): [137, 6], ('12', '5', '0'): [48, 7]}
frozenset({'12', '6', '0'})	{('12',): [277, 1], ('6',): [272, 2], ('0',): [342, 4], ('12', '6'): [73, 3], ('12', '0'): [104, 5], ('6', '0'): [92, 6], ('12', '6', '0'): [27, 7]}
frozenset({'12', '7', '0'})	{('12',): [277, 1], ('7',): [350, 2], ('0',): [342, 4], ('12', '7'): [98, 3], ('12', '0'): [104, 5], ('7', '0'): [127, 6], ('12', '7', '0'): [40, 7]}
frozenset({'12', '1', '10'})	{('12',): [277, 1], ('1',): [66, 2], ('10',): [319, 4], ('12', '1'): [25, 3], ('12', '10'): [103, 5], ('1', '10'): [22, 6], ('12', '1', '10'): [12, 7]}
frozenset({'12', '1', '13'})	{('12',): [277, 1], ('1',): [66, 2], ('13',): [255, 4], ('12', '1'): [25, 3], ('12', '13'): [78, 5], ('1', '13'): [15, 6], ('12', '1', '13'): [4, 7]}
frozenset({'12', '1', '15'})	{('12',): [277, 1], ('1',): [66, 2], ('15',): [173, 4], ('12', '1'): [25, 3], ('12', '15'): [53, 5], ('1', '15'): [10, 6], ('12', '1', '15'): [5, 7]}
frozenset({'12', '1', '16'})	{('12',): [277, 1], ('1',): [66, 2], ('16',): [136, 4], ('12', '1'): [25, 3], ('12', '16'): [48, 5], ('1', '16'): [8, 6], ('12', '1', '16'): [3, 7]}
frozenset({'12', '1', '18'})	{('12',): [277, 1], ('1',): [66, 2], ('18',): [285, 4], ('12', '1'): [25, 3], ('12', '18'): [85, 5], ('1', '18'): [23, 6], ('12', '1', '18'): [8, 7]}
frozenset({'12', '1', '2'})	{('12',): [277, 1], ('1',): [66, 2], ('2',): [20, 4], ('12', '1'): [25, 3], ('12', '2'): [8, 5], ('1', '2'): [1, 6], ('12', '1', '2'): [0, 7]}
frozenset({'12', '1', '4'})	{('12',): [277, 1], ('1',): [66, 2], ('4',): [290, 4], ('12', '1'): [25, 3], ('12', '4'): [89, 5], ('1', '4'): [17, 6], ('12', '1', '4'): [4, 7]}
frozenset({'12', '5', '1'})	{('12',): [277, 1], ('5',): [354, 2], ('1',): [66, 4], ('12', '5'): [103, 3], ('12', '1'): [25, 5], ('5', '1'): [22, 6], ('12', '5', '1'): [10, 7]}
frozenset({'12', '1', '6'})	{('12',): [277, 1], ('1',): [66, 2], ('6',): [272, 4], ('12', '1'): [25, 3], ('12', '6'): [73, 5], ('1', '6'): [9, 6], ('12', '1', '6'): [4, 7]}
frozenset({'12', '1', '7'})	{('12',): [277, 1], ('1',): [66, 2], ('7',): [350, 4], ('12', '1'): [25, 3], ('12', '7'): [98, 5], ('1', '7'): [29, 6], ('12', '1', '7'): [11, 7]}
frozenset({'12', '13', '10'})	{('12',): [277, 1], ('13',): [255, 2], ('10',): [319, 4], ('12', '13'): [78, 3], ('12', '10'): [103, 5], ('13', '10'): [78, 6], ('12', '13', '10'): [26, 7]}
frozenset({'12', '15', '10'})	{('12',): [277, 1], ('15',): [173, 2], ('10',): [319, 4], ('12', '15'): [53, 3], ('12', '10'): [103, 5], ('15', '10'): [62, 6], ('12', '15', '10'): [17, 7]}
frozenset({'12', '16', '10'})	{('12',): [277, 1], ('16',): [136, 2], ('10',): [319, 4], ('12', '16'): [48, 3], ('12', '10'): [103, 5], ('16', '10'): [44, 6], ('12', '16', '10'): [16, 7]}
frozenset({'12', '18', '10'})	{('12',): [277, 1], ('18',): [285, 2], ('10',): [319, 4], ('12', '18'): [85, 3], ('12', '10'): [103, 5], ('18', '10'): [110, 6], ('12', '18', '10'): [39, 7]}
frozenset({'12', '2', '10'})	{('12',): [277, 1], ('2',): [20, 2], ('10',): [319, 4], ('12', '2'): [8, 3], ('12', '10'): [103, 5], ('2', '10'): [5, 6], ('12', '2', '10'): [4, 7]}
frozenset({'12', '4', '10'})	{('12',): [277, 1], ('4',): [290, 2], ('10',): [319, 4], ('12', '4'): [89, 3], ('12', '10'): [103, 5], ('4', '10'): [96, 6], ('12', '4', '10'): [31, 7]}
frozenset({'12', '5', '10'})	{('12',): [277, 1], ('5',): [354, 2], ('10',): [319, 4], ('12', '5'): [103, 3], ('12', '10'): [103, 5], ('5', '10'): [120, 6], ('12', '5', '10'): [47, 7]}
frozenset({'12', '6', '10'})	{('12',): [277, 1], ('6',): [272, 2], ('10',): [319, 4], ('12', '6'): [73, 3], ('12', '10'): [103, 5], ('6', '10'): [98, 6], ('12', '6', '10'): [32, 7]}
frozenset({'12', '7', '10'})	{('12',): [277, 1], ('7',): [350, 2], ('10',): [319, 4], ('12', '7'): [98, 3], ('12', '10'): [103, 5], ('7', '10'): [120, 6], ('12', '7', '10'): [40, 7]}
frozenset({'0', '13', '15'})	{('0',): [342, 1], ('13',): [255, 2], ('15',): [173, 4], ('0', '13'): [96, 3], ('0', '15'): [66, 5], ('13', '15'): [50, 6], ('0', '13', '15'): [17, 7]}
frozenset({'0', '13', '18'})	{('0',): [342, 1], ('13',): [255, 2], ('18',): [285, 4], ('0', '13'): [96, 3], ('0', '18'): [105, 5], ('13', '18'): [87, 6], ('0', '13', '18'): [33, 7]}
frozenset({'0', '13', '2'})	{('0',): [342, 1], ('13',): [255, 2], ('2',): [20, 4], ('0', '13'): [96, 3], ('0', '2'): [9, 5], ('13', '2'): [7, 6], ('0', '13', '2'): [1, 7]}
frozenset({'1', '14', '13'})	{('1',): [66, 1], ('14',): [538, 2], ('13',): [255, 4], ('1', '14'): [40, 3], ('1', '13'): [15, 5], ('14', '13'): [141, 6], ('1', '14', '13'): [9, 7]}
frozenset({'1', '13', '15'})	{('1',): [66, 1], ('13',): [255, 2], ('15',): [173, 4], ('1', '13'): [15, 3], ('1', '15'): [10, 5], ('13', '15'): [50, 6], ('1', '13', '15'): [1, 7]}
frozenset({'1', '16', '13'})	{('1',): [66, 1], ('16',): [136, 2], ('13',): [255, 4], ('1', '16'): [8, 3], ('1', '13'): [15, 5], ('16', '13'): [41, 6], ('1', '16', '13'): [4, 7]}
frozenset({'1', '13', '18'})	{('1',): [66, 1], ('13',): [255, 2], ('18',): [285, 4], ('1', '13'): [15, 3], ('1', '18'): [23, 5], ('13', '18'): [87, 6], ('1', '13', '18'): [8, 7]}
frozenset({'1', '13', '2'})	{('1',): [66, 1], ('13',): [255, 2], ('2',): [20, 4], ('1', '13'): [15, 3], ('1', '2'): [1, 5], ('13', '2'): [7, 6], ('1', '13', '2'): [0, 7]}
frozenset({'1', '13', '3'})	{('1',): [66, 1], ('13',): [255, 2], ('3',): [583, 4], ('1', '13'): [15, 3], ('1', '3'): [41, 5], ('13', '3'): [155, 6], ('1', '13', '3'): [9, 7]}
frozenset({'1', '4', '13'})	{('1',): [66, 1], ('4',): [290, 2], ('13',): [255, 4], ('1', '4'): [17, 3], ('1', '13'): [15, 5], ('4', '13'): [77, 6], ('1', '4', '13'): [4, 7]}
frozenset({'1', '6', '13'})	{('1',): [66, 1], ('6',): [272, 2], ('13',): [255, 4], ('1', '6'): [9, 3], ('1', '13'): [15, 5], ('6', '13'): [88, 6], ('1', '6', '13'): [2, 7]}
frozenset({'1', '7', '13'})	{('1',): [66, 1], ('7',): [350, 2], ('13',): [255, 4], ('1', '7'): [29, 3], ('1', '13'): [15, 5], ('7', '13'): [99, 6], ('1', '7', '13'): [10, 7]}
frozenset({'15', '13', '10'})	{('15',): [173, 1], ('13',): [255, 2], ('10',): [319, 4], ('15', '13'): [50, 3], ('15', '10'): [62, 5], ('13', '10'): [78, 6], ('15', '13', '10'): [16, 7]}
frozenset({'18', '13', '10'})	{('18',): [285, 1], ('13',): [255, 2], ('10',): [319, 4], ('18', '13'): [87, 3], ('18', '10'): [110, 5], ('13', '10'): [78, 6], ('18', '13', '10'): [32, 7]}
frozenset({'2', '13', '10'})	{('2',): [20, 1], ('13',): [255, 2], ('10',): [319, 4], ('2', '13'): [7, 3], ('2', '10'): [5, 5], ('13', '10'): [78, 6], ('2', '13', '10'): [1, 7]}
frozenset({'12', '13', '15'})	{('12',): [277, 1], ('13',): [255, 2], ('15',): [173, 4], ('12', '13'): [78, 3], ('12', '15'): [53, 5], ('13', '15'): [50, 6], ('12', '13', '15'): [12, 7]}
frozenset({'12', '16', '13'})	{('12',): [277, 1], ('16',): [136, 2], ('13',): [255, 4], ('12', '16'): [48, 3], ('12', '13'): [78, 5], ('16', '13'): [41, 6], ('12', '16', '13'): [15, 7]}
frozenset({'12', '13', '18'})	{('12',): [277, 1], ('13',): [255, 2], ('18',): [285, 4], ('12', '13'): [78, 3], ('12', '18'): [85, 5], ('13', '18'): [87, 6], ('12', '13', '18'): [25, 7]}
frozenset({'12', '13', '2'})	{('12',): [277, 1], ('13',): [255, 2], ('2',): [20, 4], ('12', '13'): [78, 3], ('12', '2'): [8, 5], ('13', '2'): [7, 6], ('12', '13', '2'): [0, 7]}
frozenset({'12', '4', '13'})	{('12',): [277, 1], ('4',): [290, 2], ('13',): [255, 4], ('12', '4'): [89, 3], ('12', '13'): [78, 5], ('4', '13'): [77, 6], ('12', '4', '13'): [25, 7]}
frozenset({'12', '5', '13'})	{('12',): [277, 1], ('5',): [354, 2], ('13',): [255, 4], ('12', '5'): [103, 3], ('12', '13'): [78, 5], ('5', '13'): [95, 6], ('12', '5', '13'): [29, 7]}
frozenset({'12', '6', '13'})	{('12',): [277, 1], ('6',): [272, 2], ('13',): [255, 4], ('12', '6'): [73, 3], ('12', '13'): [78, 5], ('6', '13'): [88, 6], ('12', '6', '13'): [30, 7]}
frozenset({'12', '7', '13'})	{('12',): [277, 1], ('7',): [350, 2], ('13',): [255, 4], ('12', '7'): [98, 3], ('12', '13'): [78, 5], ('7', '13'): [99, 6], ('12', '7', '13'): [28, 7]}
frozenset({'1', '14', '15'})	{('1',): [66, 1], ('14',): [538, 2], ('15',): [173, 4], ('1', '14'): [40, 3], ('1', '15'): [10, 5], ('14', '15'): [104, 6], ('1', '14', '15'): [5, 7]}
frozenset({'1', '14', '16'})	{('1',): [66, 1], ('14',): [538, 2], ('16',): [136, 4], ('1', '14'): [40, 3], ('1', '16'): [8, 5], ('14', '16'): [80, 6], ('1', '14', '16'): [5, 7]}
frozenset({'1', '14', '18'})	{('1',): [66, 1], ('14',): [538, 2], ('18',): [285, 4], ('1', '14'): [40, 3], ('1', '18'): [23, 5], ('14', '18'): [168, 6], ('1', '14', '18'): [14, 7]}
frozenset({'1', '14', '2'})	{('1',): [66, 1], ('14',): [538, 2], ('2',): [20, 4], ('1', '14'): [40, 3], ('1', '2'): [1, 5], ('14', '2'): [11, 6], ('1', '14', '2'): [1, 7]}
frozenset({'1', '14', '3'})	{('1',): [66, 1], ('14',): [538, 2], ('3',): [583, 4], ('1', '14'): [40, 3], ('1', '3'): [41, 5], ('14', '3'): [332, 6], ('1', '14', '3'): [24, 7]}
frozenset({'1', '14', '4'})	{('1',): [66, 1], ('14',): [538, 2], ('4',): [290, 4], ('1', '14'): [40, 3], ('1', '4'): [17, 5], ('14', '4'): [164, 6], ('1', '14', '4'): [12, 7]}
frozenset({'6', '1', '14'})	{('6',): [272, 1], ('1',): [66, 2], ('14',): [538, 4], ('6', '1'): [9, 3], ('6', '14'): [151, 5], ('1', '14'): [40, 6], ('6', '1', '14'): [5, 7]}
frozenset({'1', '14', '7'})	{('1',): [66, 1], ('14',): [538, 2], ('7',): [350, 4], ('1', '14'): [40, 3], ('1', '7'): [29, 5], ('14', '7'): [192, 6], ('1', '14', '7'): [18, 7]}
frozenset({'0', '15', '18'})	{('0',): [342, 1], ('15',): [173, 2], ('18',): [285, 4], ('0', '15'): [66, 3], ('0', '18'): [105, 5], ('15', '18'): [51, 6], ('0', '15', '18'): [22, 7]}
frozenset({'0', '15', '2'})	{('0',): [342, 1], ('15',): [173, 2], ('2',): [20, 4], ('0', '15'): [66, 3], ('0', '2'): [9, 5], ('15', '2'): [3, 6], ('0', '15', '2'): [2, 7]}
frozenset({'1', '16', '15'})	{('1',): [66, 1], ('16',): [136, 2], ('15',): [173, 4], ('1', '16'): [8, 3], ('1', '15'): [10, 5], ('16', '15'): [30, 6], ('1', '16', '15'): [2, 7]}
frozenset({'1', '15', '18'})	{('1',): [66, 1], ('15',): [173, 2], ('18',): [285, 4], ('1', '15'): [10, 3], ('1', '18'): [23, 5], ('15', '18'): [51, 6], ('1', '15', '18'): [2, 7]}
frozenset({'1', '15', '2'})	{('1',): [66, 1], ('15',): [173, 2], ('2',): [20, 4], ('1', '15'): [10, 3], ('1', '2'): [1, 5], ('15', '2'): [3, 6], ('1', '15', '2'): [0, 7]}
frozenset({'1', '15', '3'})	{('1',): [66, 1], ('15',): [173, 2], ('3',): [583, 4], ('1', '15'): [10, 3], ('1', '3'): [41, 5], ('15', '3'): [112, 6], ('1', '15', '3'): [7, 7]}
frozenset({'1', '4', '15'})	{('1',): [66, 1], ('4',): [290, 2], ('15',): [173, 4], ('1', '4'): [17, 3], ('1', '15'): [10, 5], ('4', '15'): [55, 6], ('1', '4', '15'): [1, 7]}
frozenset({'1', '6', '15'})	{('1',): [66, 1], ('6',): [272, 2], ('15',): [173, 4], ('1', '6'): [9, 3], ('1', '15'): [10, 5], ('6', '15'): [48, 6], ('1', '6', '15'): [2, 7]}
frozenset({'1', '7', '15'})	{('1',): [66, 1], ('7',): [350, 2], ('15',): [173, 4], ('1', '7'): [29, 3], ('1', '15'): [10, 5], ('7', '15'): [73, 6], ('1', '7', '15'): [4, 7]}
frozenset({'18', '15', '10'})	{('18',): [285, 1], ('15',): [173, 2], ('10',): [319, 4], ('18', '15'): [51, 3], ('18', '10'): [110, 5], ('15', '10'): [62, 6], ('18', '15', '10'): [23, 7]}
frozenset({'2', '15', '10'})	{('2',): [20, 1], ('15',): [173, 2], ('10',): [319, 4], ('2', '15'): [3, 3], ('2', '10'): [5, 5], ('15', '10'): [62, 6], ('2', '15', '10'): [2, 7]}
frozenset({'3', '15', '10'})	{('3',): [583, 1], ('15',): [173, 2], ('10',): [319, 4], ('3', '15'): [112, 3], ('3', '10'): [198, 5], ('15', '10'): [62, 6], ('3', '15', '10'): [42, 7]}
frozenset({'11', '15', '2'})	{('11',): [581, 1], ('15',): [173, 2], ('2',): [20, 4], ('11', '15'): [109, 3], ('11', '2'): [13, 5], ('15', '2'): [3, 6], ('11', '15', '2'): [2, 7]}
frozenset({'12', '16', '15'})	{('12',): [277, 1], ('16',): [136, 2], ('15',): [173, 4], ('12', '16'): [48, 3], ('12', '15'): [53, 5], ('16', '15'): [30, 6], ('12', '16', '15'): [12, 7]}
frozenset({'12', '15', '18'})	{('12',): [277, 1], ('15',): [173, 2], ('18',): [285, 4], ('12', '15'): [53, 3], ('12', '18'): [85, 5], ('15', '18'): [51, 6], ('12', '15', '18'): [16, 7]}
frozenset({'12', '15', '2'})	{('12',): [277, 1], ('15',): [173, 2], ('2',): [20, 4], ('12', '15'): [53, 3], ('12', '2'): [8, 5], ('15', '2'): [3, 6], ('12', '15', '2'): [2, 7]}
frozenset({'12', '4', '15'})	{('12',): [277, 1], ('4',): [290, 2], ('15',): [173, 4], ('12', '4'): [89, 3], ('12', '15'): [53, 5], ('4', '15'): [55, 6], ('12', '4', '15'): [18, 7]}
frozenset({'12', '5', '15'})	{('12',): [277, 1], ('5',): [354, 2], ('15',): [173, 4], ('12', '5'): [103, 3], ('12', '15'): [53, 5], ('5', '15'): [63, 6], ('12', '5', '15'): [21, 7]}
frozenset({'12', '6', '15'})	{('12',): [277, 1], ('6',): [272, 2], ('15',): [173, 4], ('12', '6'): [73, 3], ('12', '15'): [53, 5], ('6', '15'): [48, 6], ('12', '6', '15'): [12, 7]}
frozenset({'12', '7', '15'})	{('12',): [277, 1], ('7',): [350, 2], ('15',): [173, 4], ('12', '7'): [98, 3], ('12', '15'): [53, 5], ('7', '15'): [73, 6], ('12', '7', '15'): [22, 7]}
frozenset({'13', '15', '18'})	{('13',): [255, 1], ('15',): [173, 2], ('18',): [285, 4], ('13', '15'): [50, 3], ('13', '18'): [87, 5], ('15', '18'): [51, 6], ('13', '15', '18'): [14, 7]}
frozenset({'13', '15', '2'})	{('13',): [255, 1], ('15',): [173, 2], ('2',): [20, 4], ('13', '15'): [50, 3], ('13', '2'): [7, 5], ('15', '2'): [3, 6], ('13', '15', '2'): [1, 7]}
frozenset({'16', '14', '15'})	{('16',): [136, 1], ('14',): [538, 2], ('15',): [173, 4], ('16', '14'): [80, 3], ('16', '15'): [30, 5], ('14', '15'): [104, 6], ('16', '14', '15'): [21, 7]}
frozenset({'14', '15', '2'})	{('14',): [538, 1], ('15',): [173, 2], ('2',): [20, 4], ('14', '15'): [104, 3], ('14', '2'): [11, 5], ('15', '2'): [3, 6], ('14', '15', '2'): [2, 7]}
frozenset({'16', '0', '10'})	{('16',): [136, 1], ('0',): [342, 2], ('10',): [319, 4], ('16', '0'): [54, 3], ('16', '10'): [44, 5], ('0', '10'): [112, 6], ('16', '0', '10'): [14, 7]}
frozenset({'16', '11', '0'})	{('16',): [136, 1], ('11',): [581, 2], ('0',): [342, 4], ('16', '11'): [95, 3], ('16', '0'): [54, 5], ('11', '0'): [216, 6], ('16', '11', '0'): [42, 7]}
frozenset({'13', '16', '0'})	{('13',): [255, 1], ('16',): [136, 2], ('0',): [342, 4], ('13', '16'): [41, 3], ('13', '0'): [96, 5], ('16', '0'): [54, 6], ('13', '16', '0'): [19, 7]}
frozenset({'16', '0', '15'})	{('16',): [136, 1], ('0',): [342, 2], ('15',): [173, 4], ('16', '0'): [54, 3], ('16', '15'): [30, 5], ('0', '15'): [66, 6], ('16', '0', '15'): [14, 7]}
frozenset({'16', '0', '18'})	{('16',): [136, 1], ('0',): [342, 2], ('18',): [285, 4], ('16', '0'): [54, 3], ('16', '18'): [42, 5], ('0', '18'): [105, 6], ('16', '0', '18'): [19, 7]}
frozenset({'16', '0', '2'})	{('16',): [136, 1], ('0',): [342, 2], ('2',): [20, 4], ('16', '0'): [54, 3], ('16', '2'): [2, 5], ('0', '2'): [9, 6], ('16', '0', '2'): [1, 7]}
frozenset({'16', '0', '3'})	{('16',): [136, 1], ('0',): [342, 2], ('3',): [583, 4], ('16', '0'): [54, 3], ('16', '3'): [81, 5], ('0', '3'): [218, 6], ('16', '0', '3'): [36, 7]}
frozenset({'16', '4', '0'})	{('16',): [136, 1], ('4',): [290, 2], ('0',): [342, 4], ('16', '4'): [45, 3], ('16', '0'): [54, 5], ('4', '0'): [113, 6], ('16', '4', '0'): [17, 7]}
frozenset({'16', '7', '0'})	{('16',): [136, 1], ('7',): [350, 2], ('0',): [342, 4], ('16', '7'): [60, 3], ('16', '0'): [54, 5], ('7', '0'): [127, 6], ('16', '7', '0'): [28, 7]}
frozenset({'1', '16', '18'})	{('1',): [66, 1], ('16',): [136, 2], ('18',): [285, 4], ('1', '16'): [8, 3], ('1', '18'): [23, 5], ('16', '18'): [42, 6], ('1', '16', '18'): [4, 7]}
frozenset({'1', '16', '2'})	{('1',): [66, 1], ('16',): [136, 2], ('2',): [20, 4], ('1', '16'): [8, 3], ('1', '2'): [1, 5], ('16', '2'): [2, 6], ('1', '16', '2'): [0, 7]}
frozenset({'1', '16', '3'})	{('1',): [66, 1], ('16',): [136, 2], ('3',): [583, 4], ('1', '16'): [8, 3], ('1', '3'): [41, 5], ('16', '3'): [81, 6], ('1', '16', '3'): [5, 7]}
frozenset({'1', '16', '4'})	{('1',): [66, 1], ('16',): [136, 2], ('4',): [290, 4], ('1', '16'): [8, 3], ('1', '4'): [17, 5], ('16', '4'): [45, 6], ('1', '16', '4'): [3, 7]}
frozenset({'6', '1', '16'})	{('6',): [272, 1], ('1',): [66, 2], ('16',): [136, 4], ('6', '1'): [9, 3], ('6', '16'): [45, 5], ('1', '16'): [8, 6], ('6', '1', '16'): [2, 7]}
frozenset({'1', '16', '7'})	{('1',): [66, 1], ('16',): [136, 2], ('7',): [350, 4], ('1', '16'): [8, 3], ('1', '7'): [29, 5], ('16', '7'): [60, 6], ('1', '16', '7'): [6, 7]}
frozenset({'16', '11', '10'})	{('16',): [136, 1], ('11',): [581, 2], ('10',): [319, 4], ('16', '11'): [95, 3], ('16', '10'): [44, 5], ('11', '10'): [193, 6], ('16', '11', '10'): [29, 7]}
frozenset({'16', '13', '10'})	{('16',): [136, 1], ('13',): [255, 2], ('10',): [319, 4], ('16', '13'): [41, 3], ('16', '10'): [44, 5], ('13', '10'): [78, 6], ('16', '13', '10'): [14, 7]}
frozenset({'16', '15', '10'})	{('16',): [136, 1], ('15',): [173, 2], ('10',): [319, 4], ('16', '15'): [30, 3], ('16', '10'): [44, 5], ('15', '10'): [62, 6], ('16', '15', '10'): [8, 7]}
frozenset({'16', '18', '10'})	{('16',): [136, 1], ('18',): [285, 2], ('10',): [319, 4], ('16', '18'): [42, 3], ('16', '10'): [44, 5], ('18', '10'): [110, 6], ('16', '18', '10'): [12, 7]}
frozenset({'16', '2', '10'})	{('16',): [136, 1], ('2',): [20, 2], ('10',): [319, 4], ('16', '2'): [2, 3], ('16', '10'): [44, 5], ('2', '10'): [5, 6], ('16', '2', '10'): [0, 7]}
frozenset({'16', '3', '10'})	{('16',): [136, 1], ('3',): [583, 2], ('10',): [319, 4], ('16', '3'): [81, 3], ('16', '10'): [44, 5], ('3', '10'): [198, 6], ('16', '3', '10'): [24, 7]}
frozenset({'16', '4', '10'})	{('16',): [136, 1], ('4',): [290, 2], ('10',): [319, 4], ('16', '4'): [45, 3], ('16', '10'): [44, 5], ('4', '10'): [96, 6], ('16', '4', '10'): [14, 7]}
frozenset({'16', '7', '10'})	{('16',): [136, 1], ('7',): [350, 2], ('10',): [319, 4], ('16', '7'): [60, 3], ('16', '10'): [44, 5], ('7', '10'): [120, 6], ('16', '7', '10'): [21, 7]}
frozenset({'16', '11', '13'})	{('16',): [136, 1], ('11',): [581, 2], ('13',): [255, 4], ('16', '11'): [95, 3], ('16', '13'): [41, 5], ('11', '13'): [152, 6], ('16', '11', '13'): [28, 7]}
frozenset({'16', '11', '15'})	{('16',): [136, 1], ('11',): [581, 2], ('15',): [173, 4], ('16', '11'): [95, 3], ('16', '15'): [30, 5], ('11', '15'): [109, 6], ('16', '11', '15'): [20, 7]}
frozenset({'16', '11', '18'})	{('16',): [136, 1], ('11',): [581, 2], ('18',): [285, 4], ('16', '11'): [95, 3], ('16', '18'): [42, 5], ('11', '18'): [181, 6], ('16', '11', '18'): [32, 7]}
frozenset({'16', '11', '2'})	{('16',): [136, 1], ('11',): [581, 2], ('2',): [20, 4], ('16', '11'): [95, 3], ('16', '2'): [2, 5], ('11', '2'): [13, 6], ('16', '11', '2'): [2, 7]}
frozenset({'16', '11', '3'})	{('16',): [136, 1], ('11',): [581, 2], ('3',): [583, 4], ('16', '11'): [95, 3], ('16', '3'): [81, 5], ('11', '3'): [366, 6], ('16', '11', '3'): [57, 7]}
frozenset({'16', '11', '4'})	{('16',): [136, 1], ('11',): [581, 2], ('4',): [290, 4], ('16', '11'): [95, 3], ('16', '4'): [45, 5], ('11', '4'): [182, 6], ('16', '11', '4'): [32, 7]}
frozenset({'7', '16', '11'})	{('7',): [350, 1], ('16',): [136, 2], ('11',): [581, 4], ('7', '16'): [60, 3], ('7', '11'): [220, 5], ('16', '11'): [95, 6], ('7', '16', '11'): [43, 7]}
frozenset({'12', '16', '18'})	{('12',): [277, 1], ('16',): [136, 2], ('18',): [285, 4], ('12', '16'): [48, 3], ('12', '18'): [85, 5], ('16', '18'): [42, 6], ('12', '16', '18'): [20, 7]}
frozenset({'12', '16', '2'})	{('12',): [277, 1], ('16',): [136, 2], ('2',): [20, 4], ('12', '16'): [48, 3], ('12', '2'): [8, 5], ('16', '2'): [2, 6], ('12', '16', '2'): [0, 7]}
frozenset({'12', '16', '4'})	{('12',): [277, 1], ('16',): [136, 2], ('4',): [290, 4], ('12', '16'): [48, 3], ('12', '4'): [89, 5], ('16', '4'): [45, 6], ('12', '16', '4'): [16, 7]}
frozenset({'12', '5', '16'})	{('12',): [277, 1], ('5',): [354, 2], ('16',): [136, 4], ('12', '5'): [103, 3], ('12', '16'): [48, 5], ('5', '16'): [50, 6], ('12', '5', '16'): [23, 7]}
frozenset({'12', '6', '16'})	{('12',): [277, 1], ('6',): [272, 2], ('16',): [136, 4], ('12', '6'): [73, 3], ('12', '16'): [48, 5], ('6', '16'): [45, 6], ('12', '6', '16'): [16, 7]}
frozenset({'12', '16', '7'})	{('12',): [277, 1], ('16',): [136, 2], ('7',): [350, 4], ('12', '16'): [48, 3], ('12', '7'): [98, 5], ('16', '7'): [60, 6], ('12', '16', '7'): [20, 7]}
frozenset({'16', '13', '15'})	{('16',): [136, 1], ('13',): [255, 2], ('15',): [173, 4], ('16', '13'): [41, 3], ('16', '15'): [30, 5], ('13', '15'): [50, 6], ('16', '13', '15'): [12, 7]}
frozenset({'16', '13', '18'})	{('16',): [136, 1], ('13',): [255, 2], ('18',): [285, 4], ('16', '13'): [41, 3], ('16', '18'): [42, 5], ('13', '18'): [87, 6], ('16', '13', '18'): [15, 7]}
frozenset({'16', '13', '2'})	{('16',): [136, 1], ('13',): [255, 2], ('2',): [20, 4], ('16', '13'): [41, 3], ('16', '2'): [2, 5], ('13', '2'): [7, 6], ('16', '13', '2'): [0, 7]}
